epoch	losses 	correct
    0	0.47454	0.75873
    1	0.28150	0.87114
    2	0.21007	0.91570
    3	0.18707	0.91931
    4	0.17730	0.92573
    5	0.13733	0.94380
    6	0.12798	0.94741
    7	0.10670	0.95905
    8	0.08325	0.96989
    9	0.08309	0.96548
   10	0.04882	0.98314
   11	0.03368	0.99157
   12	0.02985	0.99277
   13	0.03158	0.99157
   14	0.03602	0.98956
   15	0.02973	0.99277
   16	0.03168	0.99117
   17	0.02992	0.99197
   18	0.02950	0.99197
   19	0.03419	0.98916
   20	0.02897	0.99277
   21	0.02897	0.99398
   22	0.02438	0.99478
   23	0.03361	0.98916
   24	0.03451	0.98956
   25	0.03131	0.99197
   26	0.02780	0.99237
   27	0.02982	0.99237
   28	0.02797	0.99358
   29	0.02874	0.99358
   30	0.03298	0.99037
   31	0.03238	0.98996
   32	0.03435	0.98956
   33	0.03107	0.99077
   34	0.03306	0.98996
   35	0.02812	0.99438
   36	0.03233	0.99117
   37	0.02859	0.99077
   38	0.02860	0.99438
   39	0.02905	0.99237
   40	0.03349	0.98956
   41	0.03239	0.98916
   42	0.03151	0.99157
   43	0.03044	0.99117
   44	0.03152	0.99117
   45	0.03006	0.99237
   46	0.03507	0.98756
   47	0.02953	0.99318
   48	0.03258	0.99157
   49	0.03434	0.99197
   50	0.03162	0.99117
   51	0.03071	0.99237
   52	0.02972	0.99117
   53	0.02945	0.99197
   54	0.02895	0.99358
   55	0.02773	0.99157
   56	0.03186	0.99157
   57	0.03698	0.98756
   58	0.02903	0.99117
   59	0.02847	0.99197
   60	0.02964	0.99318
   61	0.02821	0.99277
   62	0.03182	0.99197
   63	0.03278	0.99358
   64	0.03128	0.98956
   65	0.02804	0.99237
   66	0.03001	0.99117
   67	0.02845	0.99197
   68	0.02947	0.99157
   69	0.03560	0.98916
   70	0.03184	0.99197
   71	0.03128	0.99197
   72	0.02890	0.99318
   73	0.02613	0.99398
   74	0.03113	0.98996
   75	0.03526	0.98916
   76	0.03147	0.99117
   77	0.02791	0.99197
   78	0.02750	0.99398
   79	0.02961	0.99037
   80	0.03420	0.98916
   81	0.02736	0.99318
   82	0.02854	0.99117
   83	0.03056	0.99117
   84	0.03241	0.98956
   85	0.03118	0.99197
   86	0.03099	0.99237
   87	0.03368	0.99077
   88	0.03047	0.99197
   89	0.02795	0.99117
   90	0.03173	0.98996
   91	0.03269	0.99197
   92	0.02694	0.99277
   93	0.03144	0.98996
   94	0.03170	0.99237
   95	0.03121	0.99117
   96	0.03059	0.98916
   97	0.03102	0.99037
   98	0.03298	0.98996
   99	0.03237	0.98996
